"SM Katich","bowled",2
"SE Marsh","run out",5
"Shakib Al Hasan","run out",3
"G Gambhir","caught",80
"Z Khan","bowled",5
"CJ Ferguson","caught and bowled",2
"SR Watson","stumped",4
"GC Smith","bowled",2
"SM Pollock","caught",4
"BCJ Cutting","run out",1
"Younis Khan","bowled",1
"C de Grandhomme","caught",9
"Yuvraj Singh","run out",4
"LA Carseldine","run out",1
"R Ashwin","lbw",1
"RS Bopara","run out",2
"MS Wade","lbw",1
"TG Southee","caught",4
"BCJ Cutting","bowled",2
"HH Pandya","caught",34
"MJ McClenaghan","lbw",1
"Mujeeb Ur Rahman","bowled",1
"HM Amla","run out",1
"P Simran Singh","caught",2
"Yuvraj Singh","caught",84
"K Rabada","bowled",3
"RP Singh","run out",4
"IS Sodhi","caught",2
"L Balaji","run out",1
"KS Williamson","bowled",3
"AA Chavan","caught",1
"Niraj Patel","caught",2
"SW Billings","bowled",3
"TL Suman","run out",1
"JM Bairstow","caught",10
"FY Fazal","caught",4
"DPMD Jayawardene","lbw",6
"SD Chitnis","run out",1
"LH Ferguson","run out",1
"Q de Kock","run out",1
"JDP Oram","caught and bowled",1
"WP Saha","stumped",5
"R Sathish","run out",2
"AB Agarkar","caught",6
"Mohammad Nabi","caught",6
"BA Stokes","bowled",13
"M Muralitharan","lbw",1
"P Negi","caught",15
"HH Pandya","stumped",1
"A Nehra","bowled",1
"Y Venugopal Rao","bowled",8
"BR Dunk","bowled",1
"DS Kulkarni","bowled",3
"P Kumar","bowled",15
"A Nehra","caught",5
"CA Pujara","bowled",4
"MJ Lumb","caught",6
"NL McCullum","run out",2
"MK Pandey","lbw",6
"MK Tiwary","bowled",11
"AS Raut","lbw",1
"Shakib Al Hasan","bowled",9
"DT Christian","lbw",4
"RA Tripathi","bowled",8
"AS Rajpoot","bowled",2
"SR Watson","bowled",35
"DJ Hooda","hit wicket",1
"AB de Villiers","stumped",6
"P Negi","bowled",4
"LR Shukla","bowled",6
"ML Hayden","caught",17
"AM Nayar","run out",9
"MC Henriques","run out",2
"AD Mathews","lbw",2
"DA Warner","caught",77
"R Vinay Kumar","stumped",1
"LMP Simmons","caught",16
"RJ Quiney","bowled",1
"N Saini","caught and bowled",2
"MDKJ Perera","caught",1
"RR Bhatkal","run out",1
"KS Williamson","run out",2
"NA Saini","caught",1
"NS Naik","lbw",1
"S Anirudha","stumped",1
"DA Warner","hit wicket",1
"N Rana","retired hurt",1
"JDP Oram","caught",5
"CA Lynn","caught",21
"CR Woakes","stumped",1
"N Saini","bowled",1
"S Badrinath","caught",31
"SK Trivedi","caught",3
"M Markande","lbw",1
"MS Bisla","run out",4
"JDP Oram","bowled",2
"MEK Hussey","lbw",2
"Azhar Mahmood","caught and bowled",1
"VVS Laxman","bowled",2
"F du Plessis","caught and bowled",3
"HV Patel","bowled",3
